"","case_month","res_state","age_group","sex","race","ethnicity","n"
"60370","2021-04","AL","50 to 64 years","Male","Black","Non-Hispanic/Latino",76
"60371","2021-04","AL","50 to 64 years","Male","Unknown","Unknown",11
"60372","2021-04","AL","50 to 64 years","Male","White","Non-Hispanic/Latino",277
"60373","2021-04","AL","50 to 64 years","Male","White",NA,11
"60374","2021-04","AL","50 to 64 years","Male",NA,NA,172
"60375","2021-04","AL","50 to 64 years","Missing",NA,NA,11
"60376","2021-04","AL","50 to 64 years",NA,NA,NA,174
"60377","2021-04","AL","65+ years","Female","Black","Non-Hispanic/Latino",42
"60378","2021-04","AL","65+ years","Female","White","Non-Hispanic/Latino",115
"60379","2021-04","AL","65+ years","Female","White",NA,22
"60380","2021-04","AL","65+ years","Female",NA,NA,105
"60381","2021-04","AL","65+ years","Male","Black","Non-Hispanic/Latino",39
"60382","2021-04","AL","65+ years","Male","White","Non-Hispanic/Latino",109
"60383","2021-04","AL","65+ years","Male",NA,NA,47
"60384","2021-04","AL","65+ years",NA,NA,NA,195
"60385","2021-04","AL","Missing","Female","Black","Non-Hispanic/Latino",212
"60386","2021-04","AL","Missing","Female","Missing","Missing",15
"60387","2021-04","AL","Missing","Female","Unknown","Unknown",213
"60388","2021-04","AL","Missing","Female","White","Non-Hispanic/Latino",871
"60389","2021-04","AL","Missing","Female",NA,NA,13
"60390","2021-04","AL","Missing","Male","Black","Non-Hispanic/Latino",128
"60391","2021-04","AL","Missing","Male","Missing","Missing",13
"60392","2021-04","AL","Missing","Male","Unknown","Unknown",168
"60393","2021-04","AL","Missing","Male","White","Non-Hispanic/Latino",721
"60394","2021-04","AL","Missing","Unknown","Unknown","Unknown",197
"60395","2021-04","AL","Missing",NA,NA,NA,27
"60396","2021-04","AL",NA,NA,NA,NA,784
"60397","2021-04","AR","0 - 17 years","Female","Black","Non-Hispanic/Latino",16
"60398","2021-04","AR","0 - 17 years","Female","White","Non-Hispanic/Latino",95
"60399","2021-04","AR","0 - 17 years","Female","White",NA,11
"60400","2021-04","AR","0 - 17 years","Female",NA,NA,79
"60401","2021-04","AR","0 - 17 years","Male","Black","Non-Hispanic/Latino",18
"60402","2021-04","AR","0 - 17 years","Male","White","Non-Hispanic/Latino",80
"60403","2021-04","AR","0 - 17 years","Male",NA,NA,73
"60404","2021-04","AR","0 - 17 years",NA,NA,NA,40
"60405","2021-04","AR","18 to 49 years","Female","Black","Non-Hispanic/Latino",133
"60406","2021-04","AR","18 to 49 years","Female","Missing","Unknown",12
"60407","2021-04","AR","18 to 49 years","Female","White","Hispanic/Latino",24
"60408","2021-04","AR","18 to 49 years","Female","White","Non-Hispanic/Latino",337
"60409","2021-04","AR","18 to 49 years","Female",NA,NA,166
"60410","2021-04","AR","18 to 49 years","Male","Asian","Non-Hispanic/Latino",16
"60411","2021-04","AR","18 to 49 years","Male","Black","Non-Hispanic/Latino",46
"60412","2021-04","AR","18 to 49 years","Male","Black",NA,11
"60413","2021-04","AR","18 to 49 years","Male","White","Hispanic/Latino",13
"60414","2021-04","AR","18 to 49 years","Male","White","Non-Hispanic/Latino",276
"60415","2021-04","AR","18 to 49 years","Male","White",NA,22
"60416","2021-04","AR","18 to 49 years","Male",NA,NA,165
"60417","2021-04","AR","18 to 49 years",NA,NA,NA,86
"60418","2021-04","AR","50 to 64 years","Female","Black","Non-Hispanic/Latino",26
"60419","2021-04","AR","50 to 64 years","Female","White","Non-Hispanic/Latino",47
"60420","2021-04","AR","50 to 64 years","Female","White",NA,13
"60421","2021-04","AR","50 to 64 years","Female",NA,NA,14
"60422","2021-04","AR","50 to 64 years","Male","Black","Non-Hispanic/Latino",12
"60423","2021-04","AR","50 to 64 years","Male","White","Non-Hispanic/Latino",46
"60424","2021-04","AR","50 to 64 years","Male","White",NA,12
"60425","2021-04","AR","50 to 64 years","Male",NA,NA,52
"60426","2021-04","AR","50 to 64 years",NA,NA,NA,90
"60427","2021-04","AR","65+ years","Female","Black","Non-Hispanic/Latino",11
"60428","2021-04","AR","65+ years","Female","White","Non-Hispanic/Latino",33
"60429","2021-04","AR","65+ years","Female","White",NA,13
"60430","2021-04","AR","65+ years","Female",NA,NA,11
"60431","2021-04","AR","65+ years","Male","White","Non-Hispanic/Latino",29
"60432","2021-04","AR","65+ years","Male",NA,NA,11
"60433","2021-04","AR","65+ years",NA,NA,NA,74
"60434","2021-04","AR",NA,NA,NA,NA,549
"60435","2021-04","AZ","0 - 17 years","Female","American Indian/Alaska Native","Non-Hispanic/Latino",26
"60436","2021-04","AZ","0 - 17 years","Female","American Indian/Alaska Native",NA,21
"60437","2021-04","AZ","0 - 17 years","Female","Asian","Non-Hispanic/Latino",16
"60438","2021-04","AZ","0 - 17 years","Female","Black","Non-Hispanic/Latino",46
"60439","2021-04","AZ","0 - 17 years","Female","Black",NA,12
"60440","2021-04","AZ","0 - 17 years","Female","Missing","Hispanic/Latino",71
"60441","2021-04","AZ","0 - 17 years","Female","Missing","Missing",46
"60442","2021-04","AZ","0 - 17 years","Female","Missing","Non-Hispanic/Latino",32
"60443","2021-04","AZ","0 - 17 years","Female","Missing","Unknown",91
"60444","2021-04","AZ","0 - 17 years","Female","Missing",NA,27
"60445","2021-04","AZ","0 - 17 years","Female","Multiple/Other","Non-Hispanic/Latino",20
"60446","2021-04","AZ","0 - 17 years","Female","Multiple/Other",NA,11
"60447","2021-04","AZ","0 - 17 years","Female","White","Hispanic/Latino",241
"60448","2021-04","AZ","0 - 17 years","Female","White","Non-Hispanic/Latino",382
"60449","2021-04","AZ","0 - 17 years","Female","White","Unknown",65
"60450","2021-04","AZ","0 - 17 years","Female",NA,NA,294
"60451","2021-04","AZ","0 - 17 years","Male","American Indian/Alaska Native","Non-Hispanic/Latino",55
"60452","2021-04","AZ","0 - 17 years","Male","American Indian/Alaska Native",NA,19
"60453","2021-04","AZ","0 - 17 years","Male","Asian",NA,11
"60454","2021-04","AZ","0 - 17 years","Male","Black","Non-Hispanic/Latino",59
"60455","2021-04","AZ","0 - 17 years","Male","Black",NA,14
"60456","2021-04","AZ","0 - 17 years","Male","Missing","Hispanic/Latino",95
"60457","2021-04","AZ","0 - 17 years","Male","Missing","Missing",74
"60458","2021-04","AZ","0 - 17 years","Male","Missing","Non-Hispanic/Latino",29
"60459","2021-04","AZ","0 - 17 years","Male","Missing","Unknown",92
"60460","2021-04","AZ","0 - 17 years","Male","Missing",NA,34
"60461","2021-04","AZ","0 - 17 years","Male","Multiple/Other","Non-Hispanic/Latino",31
"60462","2021-04","AZ","0 - 17 years","Male","Multiple/Other",NA,12
"60463","2021-04","AZ","0 - 17 years","Male","White","Hispanic/Latino",281
"60464","2021-04","AZ","0 - 17 years","Male","White","Non-Hispanic/Latino",390
"60465","2021-04","AZ","0 - 17 years","Male","White","Unknown",39
"60466","2021-04","AZ","0 - 17 years","Male","White",NA,29
"60467","2021-04","AZ","0 - 17 years","Male",NA,NA,342
"60468","2021-04","AZ","0 - 17 years","Unknown","Missing","Missing",13
"60469","2021-04","AZ","0 - 17 years",NA,NA,NA,11
"60470","2021-04","AZ","18 to 49 years","Female","American Indian/Alaska Native","Hispanic/Latino",19
"60471","2021-04","AZ","18 to 49 years","Female","American Indian/Alaska Native","Non-Hispanic/Latino",166
"60472","2021-04","AZ","18 to 49 years","Female","American Indian/Alaska Native","Unknown",15
"60473","2021-04","AZ","18 to 49 years","Female","American Indian/Alaska Native",NA,13
"60474","2021-04","AZ","18 to 49 years","Female","Asian","Non-Hispanic/Latino",82
"60475","2021-04","AZ","18 to 49 years","Female","Black","Hispanic/Latino",14
"60476","2021-04","AZ","18 to 49 years","Female","Black","Non-Hispanic/Latino",256
"60477","2021-04","AZ","18 to 49 years","Female","Black","Unknown",12
"60478","2021-04","AZ","18 to 49 years","Female","Missing","Hispanic/Latino",135
"60479","2021-04","AZ","18 to 49 years","Female","Missing","Missing",127
"60480","2021-04","AZ","18 to 49 years","Female","Missing","Non-Hispanic/Latino",90
"60481","2021-04","AZ","18 to 49 years","Female","Missing","Unknown",143
"60482","2021-04","AZ","18 to 49 years","Female","Missing",NA,62
"60483","2021-04","AZ","18 to 49 years","Female","Multiple/Other","Non-Hispanic/Latino",113
"60484","2021-04","AZ","18 to 49 years","Female","Multiple/Other",NA,38
"60485","2021-04","AZ","18 to 49 years","Female","White","Hispanic/Latino",898
"60486","2021-04","AZ","18 to 49 years","Female","White","Missing",11
"60487","2021-04","AZ","18 to 49 years","Female","White","Non-Hispanic/Latino",2050
"60488","2021-04","AZ","18 to 49 years","Female","White","Unknown",127
"60489","2021-04","AZ","18 to 49 years","Female",NA,NA,782
"60490","2021-04","AZ","18 to 49 years","Male","American Indian/Alaska Native","Hispanic/Latino",24
"60491","2021-04","AZ","18 to 49 years","Male","American Indian/Alaska Native","Non-Hispanic/Latino",152
"60492","2021-04","AZ","18 to 49 years","Male","American Indian/Alaska Native","Unknown",17
"60493","2021-04","AZ","18 to 49 years","Male","American Indian/Alaska Native",NA,27
"60494","2021-04","AZ","18 to 49 years","Male","Asian","Non-Hispanic/Latino",103
"60495","2021-04","AZ","18 to 49 years","Male","Black","Hispanic/Latino",20
"60496","2021-04","AZ","18 to 49 years","Male","Black","Non-Hispanic/Latino",239
"60497","2021-04","AZ","18 to 49 years","Male","Black","Unknown",15
"60498","2021-04","AZ","18 to 49 years","Male","Missing","Hispanic/Latino",190
"60499","2021-04","AZ","18 to 49 years","Male","Missing","Missing",289
"60500","2021-04","AZ","18 to 49 years","Male","Missing","Non-Hispanic/Latino",89
"60501","2021-04","AZ","18 to 49 years","Male","Missing","Unknown",256
"60502","2021-04","AZ","18 to 49 years","Male","Missing",NA,13
"60503","2021-04","AZ","18 to 49 years","Male","Multiple/Other","Non-Hispanic/Latino",101
"60504","2021-04","AZ","18 to 49 years","Male","Multiple/Other","Unknown",14
"60505","2021-04","AZ","18 to 49 years","Male","Multiple/Other",NA,39
"60506","2021-04","AZ","18 to 49 years","Male","White","Hispanic/Latino",685
"60507","2021-04","AZ","18 to 49 years","Male","White","Missing",30
"60508","2021-04","AZ","18 to 49 years","Male","White","Non-Hispanic/Latino",1747
"60509","2021-04","AZ","18 to 49 years","Male","White","Unknown",151
"60510","2021-04","AZ","18 to 49 years","Male","White",NA,11
"60511","2021-04","AZ","18 to 49 years","Male",NA,NA,804
"60512","2021-04","AZ","18 to 49 years","Unknown","Missing","Missing",25
"60513","2021-04","AZ","18 to 49 years","Unknown","Missing","Unknown",19
"60514","2021-04","AZ","18 to 49 years","Unknown","White",NA,15
"60515","2021-04","AZ","18 to 49 years",NA,NA,NA,36
"60516","2021-04","AZ","50 to 64 years","Female","American Indian/Alaska Native","Non-Hispanic/Latino",49
"60517","2021-04","AZ","50 to 64 years","Female","Asian","Non-Hispanic/Latino",16
"60518","2021-04","AZ","50 to 64 years","Female","Black","Non-Hispanic/Latino",38
"60519","2021-04","AZ","50 to 64 years","Female","Missing","Hispanic/Latino",17
"60520","2021-04","AZ","50 to 64 years","Female","Missing","Missing",41
"60521","2021-04","AZ","50 to 64 years","Female","Missing","Non-Hispanic/Latino",33
"60522","2021-04","AZ","50 to 64 years","Female","Missing","Unknown",42
"60523","2021-04","AZ","50 to 64 years","Female","Missing",NA,11
"60524","2021-04","AZ","50 to 64 years","Female","Multiple/Other","Non-Hispanic/Latino",11
"60525","2021-04","AZ","50 to 64 years","Female","White","Hispanic/Latino",148
"60526","2021-04","AZ","50 to 64 years","Female","White","Non-Hispanic/Latino",614
"60527","2021-04","AZ","50 to 64 years","Female","White","Unknown",32
"60528","2021-04","AZ","50 to 64 years","Female","White",NA,41
"60529","2021-04","AZ","50 to 64 years","Female",NA,NA,214
"60530","2021-04","AZ","50 to 64 years","Male","American Indian/Alaska Native","Non-Hispanic/Latino",15
"60531","2021-04","AZ","50 to 64 years","Male","American Indian/Alaska Native",NA,11
"60532","2021-04","AZ","50 to 64 years","Male","Asian","Non-Hispanic/Latino",11
"60533","2021-04","AZ","50 to 64 years","Male","Black","Non-Hispanic/Latino",35
"60534","2021-04","AZ","50 to 64 years","Male","Missing","Hispanic/Latino",18
"60535","2021-04","AZ","50 to 64 years","Male","Missing","Missing",70
"60536","2021-04","AZ","50 to 64 years","Male","Missing","Non-Hispanic/Latino",11
"60537","2021-04","AZ","50 to 64 years","Male","Missing","Unknown",29
"60538","2021-04","AZ","50 to 64 years","Male","Missing",NA,23
"60539","2021-04","AZ","50 to 64 years","Male","Multiple/Other","Non-Hispanic/Latino",20
"60540","2021-04","AZ","50 to 64 years","Male","Multiple/Other",NA,12
"60541","2021-04","AZ","50 to 64 years","Male","White","Hispanic/Latino",122
"60542","2021-04","AZ","50 to 64 years","Male","White","Non-Hispanic/Latino",624
"60543","2021-04","AZ","50 to 64 years","Male","White","Unknown",27
"60544","2021-04","AZ","50 to 64 years","Male","White",NA,34
"60545","2021-04","AZ","50 to 64 years","Male",NA,NA,215
"60546","2021-04","AZ","50 to 64 years",NA,NA,NA,94
"60547","2021-04","AZ","65+ years","Female","American Indian/Alaska Native","Non-Hispanic/Latino",16
"60548","2021-04","AZ","65+ years","Female","Black","Non-Hispanic/Latino",16
"60549","2021-04","AZ","65+ years","Female","Missing","Missing",12
"60550","2021-04","AZ","65+ years","Female","Missing",NA,32
"60551","2021-04","AZ","65+ years","Female","Multiple/Other","Non-Hispanic/Latino",17
"60552","2021-04","AZ","65+ years","Female","White","Hispanic/Latino",41
"60553","2021-04","AZ","65+ years","Female","White","Non-Hispanic/Latino",371
"60554","2021-04","AZ","65+ years","Female","White","Unknown",13
"60555","2021-04","AZ","65+ years","Female",NA,NA,149
"60556","2021-04","AZ","65+ years","Male","American Indian/Alaska Native","Non-Hispanic/Latino",11
"60557","2021-04","AZ","65+ years","Male","Black",NA,12
"60558","2021-04","AZ","65+ years","Male","Missing","Missing",20
"60559","2021-04","AZ","65+ years","Male","White","Hispanic/Latino",34
"60560","2021-04","AZ","65+ years","Male","White","Non-Hispanic/Latino",336
"60561","2021-04","AZ","65+ years","Male","White","Unknown",11
"60562","2021-04","AZ","65+ years","Male","White",NA,14
"60563","2021-04","AZ","65+ years","Male",NA,NA,121
"60564","2021-04","AZ","65+ years",NA,NA,NA,36
"60565","2021-04","AZ","Missing",NA,NA,NA,12
"60566","2021-04","AZ",NA,NA,NA,NA,171
"60567","2021-04","CA","0 - 17 years","Female","Asian","Non-Hispanic/Latino",155
"60568","2021-04","CA","0 - 17 years","Female","Asian",NA,11
"60569","2021-04","CA","0 - 17 years","Female","Black","Non-Hispanic/Latino",194
"60570","2021-04","CA","0 - 17 years","Female","Black",NA,17
"60571","2021-04","CA","0 - 17 years","Female","Missing","Hispanic/Latino",30
"60572","2021-04","CA","0 - 17 years","Female","Missing","Non-Hispanic/Latino",14
"60573","2021-04","CA","0 - 17 years","Female","Missing","Unknown",11
"60574","2021-04","CA","0 - 17 years","Female","Missing",NA,11
"60575","2021-04","CA","0 - 17 years","Female","Multiple/Other","Non-Hispanic/Latino",321
"60576","2021-04","CA","0 - 17 years","Female","Multiple/Other","Unknown",33
"60577","2021-04","CA","0 - 17 years","Female","Multiple/Other",NA,175
"60578","2021-04","CA","0 - 17 years","Female","Unknown","Hispanic/Latino",61
"60579","2021-04","CA","0 - 17 years","Female","Unknown","Non-Hispanic/Latino",12
"60580","2021-04","CA","0 - 17 years","Female","Unknown","Unknown",281
"60581","2021-04","CA","0 - 17 years","Female","Unknown",NA,86
"60582","2021-04","CA","0 - 17 years","Female","White","Hispanic/Latino",263
"60583","2021-04","CA","0 - 17 years","Female","White","Non-Hispanic/Latino",625
"60584","2021-04","CA","0 - 17 years","Female","White","Unknown",26
"60585","2021-04","CA","0 - 17 years","Female","White",NA,140
"60586","2021-04","CA","0 - 17 years","Female",NA,NA,1473
"60587","2021-04","CA","0 - 17 years","Male","Asian","Non-Hispanic/Latino",196
"60588","2021-04","CA","0 - 17 years","Male","Black","Non-Hispanic/Latino",218
"60589","2021-04","CA","0 - 17 years","Male","Missing","Hispanic/Latino",28
"60590","2021-04","CA","0 - 17 years","Male","Missing","Non-Hispanic/Latino",22
"60591","2021-04","CA","0 - 17 years","Male","Missing","Unknown",20
"60592","2021-04","CA","0 - 17 years","Male","Missing",NA,19
"60593","2021-04","CA","0 - 17 years","Male","Multiple/Other","Hispanic/Latino",50
"60594","2021-04","CA","0 - 17 years","Male","Multiple/Other","Non-Hispanic/Latino",400
"60595","2021-04","CA","0 - 17 years","Male","Multiple/Other","Unknown",39
"60596","2021-04","CA","0 - 17 years","Male","Multiple/Other",NA,186
"60597","2021-04","CA","0 - 17 years","Male","Unknown","Hispanic/Latino",54
"60598","2021-04","CA","0 - 17 years","Male","Unknown","Non-Hispanic/Latino",11
"60599","2021-04","CA","0 - 17 years","Male","Unknown","Unknown",218
"60600","2021-04","CA","0 - 17 years","Male","Unknown",NA,133
"60601","2021-04","CA","0 - 17 years","Male","White","Hispanic/Latino",298
"60602","2021-04","CA","0 - 17 years","Male","White","Non-Hispanic/Latino",692
"60603","2021-04","CA","0 - 17 years","Male","White",NA,107
"60604","2021-04","CA","0 - 17 years","Male",NA,NA,1571
"60605","2021-04","CA","0 - 17 years","Unknown","Multiple/Other","Non-Hispanic/Latino",20
"60606","2021-04","CA","0 - 17 years","Unknown","White","Hispanic/Latino",26
"60607","2021-04","CA","0 - 17 years","Unknown","White","Non-Hispanic/Latino",20
"60608","2021-04","CA","0 - 17 years","Unknown",NA,NA,33
"60609","2021-04","CA","0 - 17 years",NA,NA,NA,60
"60610","2021-04","CA","18 to 49 years","Female","American Indian/Alaska Native",NA,12
"60611","2021-04","CA","18 to 49 years","Female","Asian","Non-Hispanic/Latino",921
"60612","2021-04","CA","18 to 49 years","Female","Asian","Unknown",14
"60613","2021-04","CA","18 to 49 years","Female","Black","Hispanic/Latino",17
"60614","2021-04","CA","18 to 49 years","Female","Black","Non-Hispanic/Latino",996
"60615","2021-04","CA","18 to 49 years","Female","Black","Unknown",22
"60616","2021-04","CA","18 to 49 years","Female","Black",NA,11
"60617","2021-04","CA","18 to 49 years","Female","Missing","Hispanic/Latino",76
"60618","2021-04","CA","18 to 49 years","Female","Missing","Non-Hispanic/Latino",74
"60619","2021-04","CA","18 to 49 years","Female","Missing","Unknown",61
"60620","2021-04","CA","18 to 49 years","Female","Multiple/Other","Hispanic/Latino",16
"60621","2021-04","CA","18 to 49 years","Female","Multiple/Other","Non-Hispanic/Latino",1189
"60622","2021-04","CA","18 to 49 years","Female","Multiple/Other","Unknown",182
"60623","2021-04","CA","18 to 49 years","Female","Multiple/Other",NA,601
"60624","2021-04","CA","18 to 49 years","Female","Native Hawaiian/Other Pacific Islander","Non-Hispanic/Latino",25
"60625","2021-04","CA","18 to 49 years","Female","Native Hawaiian/Other Pacific Islander",NA,15
"60626","2021-04","CA","18 to 49 years","Female","Unknown","Hispanic/Latino",366
"60627","2021-04","CA","18 to 49 years","Female","Unknown","Non-Hispanic/Latino",67
"60628","2021-04","CA","18 to 49 years","Female","Unknown","Unknown",1421
"60629","2021-04","CA","18 to 49 years","Female","Unknown",NA,99
"60630","2021-04","CA","18 to 49 years","Female","White","Hispanic/Latino",1148
"60631","2021-04","CA","18 to 49 years","Female","White","Non-Hispanic/Latino",3079
"60632","2021-04","CA","18 to 49 years","Female","White","Unknown",264
"60633","2021-04","CA","18 to 49 years","Female","White",NA,100
"60634","2021-04","CA","18 to 49 years","Female",NA,NA,3918
"60635","2021-04","CA","18 to 49 years","Male","Asian","Non-Hispanic/Latino",817
"60636","2021-04","CA","18 to 49 years","Male","Asian","Unknown",34
"60637","2021-04","CA","18 to 49 years","Male","Asian",NA,11
"60638","2021-04","CA","18 to 49 years","Male","Black","Non-Hispanic/Latino",748
"60639","2021-04","CA","18 to 49 years","Male","Black","Unknown",32
"60640","2021-04","CA","18 to 49 years","Male","Black",NA,25
"60641","2021-04","CA","18 to 49 years","Male","Missing","Hispanic/Latino",78
"60642","2021-04","CA","18 to 49 years","Male","Missing","Non-Hispanic/Latino",56
"60643","2021-04","CA","18 to 49 years","Male","Missing","Unknown",69
"60644","2021-04","CA","18 to 49 years","Male","Multiple/Other","Hispanic/Latino",147
"60645","2021-04","CA","18 to 49 years","Male","Multiple/Other","Non-Hispanic/Latino",1290
"60646","2021-04","CA","18 to 49 years","Male","Multiple/Other","Unknown",207
"60647","2021-04","CA","18 to 49 years","Male","Multiple/Other",NA,450
"60648","2021-04","CA","18 to 49 years","Male","Native Hawaiian/Other Pacific Islander","Non-Hispanic/Latino",16
"60649","2021-04","CA","18 to 49 years","Male","Native Hawaiian/Other Pacific Islander",NA,11
